question,options,correct_answer
"What TV comedian’s signatures sign-off was “Good night, Mrs Calabash, wherever you are”?","['⬥ A:Jimmy Durante', '⬥ B:Jack Benny', '⬥ C:George Burns', '⬥ D:Sid Caesar']",⬥ A:Jimmy Durante
Edmond Dantès is a fictional character better known by what name?,"['⬥ A:Zorba the Greek', '⬥ B:The Count of Monte Cristo', '⬥ C:The Merchant of Venice', '⬥ D:The Idiot']",⬥ B:The Count of Monte Cristo
The Fujita Scale measures the amount of damage caused by what natural disaster?,"['⬥ A:Tornado', '⬥ B:Forest fire', '⬥ C:Flood', '⬥ D:Earthquake']",⬥ A:Tornado
"In a famous movie scene, Mae West says, “Why don’t you come up sometime and see me?” to what actor?’Phone-a-Friend' and ’50:50’ lifelines used","['⬥ A:Gary Cooper', '⬥ B:Clark Gable', '⬥ C:Cary Grant', '⬥ D:Montgomery Clift']",⬥ C:Cary Grant
"“To serve, not to be served” is the motto of what organization?","['⬥ A:AARP', '⬥ B:American Red Cross', '⬥ C:Salvation Army', '⬥ D:NAACP']",⬥ A:AARP
"In their best-selling advice books, 'The Beardstown Ladies' claimed to have abnormal success with what?""50:50"" Lifeline used","['⬥ A:Finding romance', '⬥ B:Losing weight', '⬥ C:Picking stocks', '⬥ D:Maintaining youth']",⬥ C:Picking stocks
"Anthracite is a highly pure form of what substance?""Phone a Friend"" Lifeline used","['⬥ A:Coal', '⬥ B:Marble', '⬥ C:Iron', '⬥ D:Quartz']",⬥ A:Coal
The twelve signs of the zodiac are named after what?,"['⬥ A:Constellations', '⬥ B:Rivers', '⬥ C:Rock formations', '⬥ D:Strip malls']",⬥ A:Constellations
"On the TV game show ""The Price is Right,"" contestants do what to try to get into the ""Showcase Showdown""?","['⬥ A:Pick a card', '⬥ B:Spin a large wheel', '⬥ C:Choose a door', '⬥ D:Roll a pair of dice']",⬥ B:Spin a large wheel
"In 1996, what rock band resumed wearing its trademark black-and-white makeup?","['⬥ A:AC/DC', '⬥ B:Black Sabbath', '⬥ C:Aerosmith', '⬥ D:Kiss']",⬥ D:Kiss
"A famous WWII battle site, Iwo Jima is an island of what country?'Ask the Audience' lifeline used","['⬥ A:Japan', '⬥ B:United States', '⬥ C:China', '⬥ D:Philippines']",⬥ A:Japan
"Folk hero Paul Bunyan was companions with Babe, a giant blue what?","['⬥ A:Ox', '⬥ B:Bear', '⬥ C:Mountain lion', '⬥ D:Wolf']",⬥ A:Ox
"What pro wrestler's signature facial expression is called ""The People's Eyebrow""?","['⬥ A:Goldberg', '⬥ B:Stone Cold Steve Austin', '⬥ C:The Rock', '⬥ D:Mick Foley']",⬥ C:The Rock
"Which of these ""nuts"" is actually a legume?'50:50' lifeline used","['⬥ A:Peanut', '⬥ B:Cashew', '⬥ C:Chestnut', '⬥ D:Beechnut']",⬥ A:Peanut
"In golf, scoring one stroke under par on a hole is called a what?","['⬥ A:Doggie', '⬥ B:Duckie', '⬥ C:Birdie', '⬥ D:Miracle']",⬥ C:Birdie
"The childhood prank known as a ""wet willie"" involves putting a wet finger in someone's what?","['⬥ A:Ear', '⬥ B:Armpit', '⬥ C:Nose', '⬥ D:Belly button']",⬥ A:Ear
"What business's name is a term for a small, economically dependent country?","['⬥ A:Tropicana', '⬥ B:Banana Republic', '⬥ C:Crate & Barrel', '⬥ D:Aeropostale']",⬥ B:Banana Republic
A popular ad campaign for Lubriderm skin care lotions features what animal?,"['⬥ A:Alligator', '⬥ B:Porcupine', '⬥ C:Camel', '⬥ D:Dolphin']",⬥ A:Alligator
"In January 2002, President George W. Bush fainted and bruised his cheek after choking on what?","['⬥ A:Pretzel', '⬥ B:Chicken wing', '⬥ C:Apple', '⬥ D:Carrot']",⬥ A:Pretzel
"In 1896, Bostonian Fannie Farmer published a classic book on what subject?‘Ask the Audience’ lifeline used","['⬥ A:Etiquette', '⬥ B:Fashion', '⬥ C:Grammar', '⬥ D:Cooking']",⬥ D:Cooking
What layer of the Earth's atmosphere is farthest from its surface?,"['⬥ A:Stratosphere', '⬥ B:Exosphere', '⬥ C:Thermosphere', '⬥ D:Troposphere']",⬥ B:Exosphere
Flokati and kilim are popular types of what home furnishing?'50:50' lifeline used,"['⬥ A:Hanging lamps', '⬥ B:Draperies', '⬥ C:Rugs', '⬥ D:Vases']",⬥ C:Rugs
The first band John Lennon and Paul McCartney played together was named what?,"['⬥ A:The Quarrymen', '⬥ B:The Merseybeats', '⬥ C:The Undertakers', '⬥ D:The Big Three']",⬥ A:The Quarrymen
"What movie studio's logo features the slogan “Ars Gratia Artis,” meaning “Art for Art's Sake”?","['⬥ A:Paramount', '⬥ B:Universal', '⬥ C:MGM', '⬥ D:Columbia']",⬥ C:MGM
"Found in many animals, Jacobson's organ is a cavity to do which of the following?‘Phone-a-Friend’ lifeline used","['⬥ A:Smell', '⬥ B:Swim', '⬥ C:Digest', '⬥ D:See']",⬥ A:Smell
In which of these countries do motorists normally drive on the right-hand side of the street?,"['⬥ A:Thailand', '⬥ B:Japan', '⬥ C:Indonesia', '⬥ D:Brazil']",⬥ D:Brazil
"Who was the first U.S. president to be elected with the assistance of women visitors?""Phone-a-Friend"" lifeline used","['⬥ A:Theodore Roosevelt', '⬥ B:William Howard Taft', '⬥ C:Woodrow Wilson', '⬥ D:Warren G. Harding']",⬥ D:Warren G. Harding
Acupuncture is an alternative medicinal practice that uses what to treat the body?,"['⬥ A:Hot stones', '⬥ B:Herbal potions', '⬥ C:Needles', '⬥ D:Häagen-Dazs']",⬥ C:Needles
Ward and June are the names of the parents on what classic TV series?,"['⬥ A:Leave It To Beaver', '⬥ B:Dennis the Menace', '⬥ C:Father Knows Best', '⬥ D:Petticoat Junction']",⬥ A:Leave It To Beaver
"The Texas city Corpus Christi gets its name from a Latin phrase meaning ""the"" what ""of Christ""?","['⬥ A:Spirit', '⬥ B:Word', '⬥ C:Touch', '⬥ D:Body']",⬥ D:Body
"Which of these keys on a standard keyboard is traditionally typed using the thumb?""50:50"" lifeline used","['⬥ A:Return key', '⬥ B:Space bar', '⬥ C:Tab key', '⬥ D:Shift key']",⬥ B:Space bar
"In the Northern Hemisphere, the harvest moon is the full moon nearest which of these days?","['⬥ A:Vernal equinox', '⬥ B:Summer solstice', '⬥ C:Autumnal equinox', '⬥ D:Winter solstice']",⬥ C:Autumnal equinox
"Internet provider AOL offers an online chat service called ""Instant"" what?""Ask the Audience"" lifeline used","['⬥ A:Friend', '⬥ B:Correspondence', '⬥ C:Messenger', '⬥ D:Headache']",⬥ C:Messenger
"On the TV series ""The Munsters"", Herman Munster resembles what legendary monster?","['⬥ A:Frankenstein', '⬥ B:The Mummy', '⬥ C:Dracula', '⬥ D:Werewolf']",⬥ A:Frankenstein
"""Unterseeboot"" is the German word for what kind of vessel?","['⬥ A:Steamboat', '⬥ B:Submarine', '⬥ C:Rowboat', '⬥ D:Ocean liner']",⬥ B:Submarine
Who is President George W. Bush's Press Secretary?,"['⬥ A:Andrew Card', '⬥ B:Karen Hughes', '⬥ C:Karl Rove', '⬥ D:Ari Fleischer']",⬥ D:Ari Fleischer
The game tic-tac-toe is also known by what name?,"['⬥ A:Sticks & stones', '⬥ B:Noughts & crosses', '⬥ C:Bits & pieces', '⬥ D:Hugs & kisses']",⬥ B:Noughts & crosses
What kind of geological formation is an archipelago?,"['⬥ A:Chain of Islands', '⬥ B:Intersecting rivers', '⬥ C:Volcanic crater', '⬥ D:Mountain range']",⬥ A:Chain of Islands
"What restaurant chain offers a signature meal called the Rooty Tooty Fresh 'N Fruity?""Phone-a-Friend"" lifeline used","[""⬥ A:Denny's"", ""⬥ B:Chili's"", ""⬥ C:T.G.I. Friday's"", '⬥ D:IHOP']",⬥ D:IHOP
Which of these children's games requires kids to hold each others' hands?,"['⬥ A:Duck Duck Goose', '⬥ B:Hopscotch', '⬥ C:Red Rover', '⬥ D:Crossing the Freeway']",⬥ C:Red Rover
"In 1971, the Animal Welfare Institute launched its famous campaign to ""Save the"" what?","['⬥ A:Whales', '⬥ B:Bears', '⬥ C:Eagles', '⬥ D:Chimpanzees']",⬥ A:Whales
"What does the ""P"" stand for in the international organization name ""OPEC""?","['⬥ A:Peace', '⬥ B:Petroleum', '⬥ C:Power', '⬥ D:Political']",⬥ B:Petroleum
"In the Northern Hemisphere, the longest day of the year occurs during what month?","['⬥ A:May', '⬥ B:June', '⬥ C:July', '⬥ D:August']",⬥ B:June
"World War II began on September 1, 1939 when Germany invaded what country?","['⬥ A:Poland', '⬥ B:France', '⬥ C:Belgium', '⬥ D:USSR']",⬥ A:Poland
"In the 1860s, French scientist Louis Pasteur invented a process used to sterilize which of the following?","['⬥ A:Water', '⬥ B:Aspirin', '⬥ C:Milk', '⬥ D:Mrs. Pasteur']",⬥ C:Milk
"In the U.S., Thanksgiving falls on what day of the week?","['⬥ A:Sunday', '⬥ B:Tuesday', '⬥ C:Thursday', '⬥ D:Friday']",⬥ C:Thursday
Which of these musical instruments has small hammers inside of it?,"['⬥ A:Piano', '⬥ B:Cello', '⬥ C:Oboe', '⬥ D:Accordion']",⬥ A:Piano
"On June 30, 2002, the U.S. Postal Service raised the price of a First-Class stamp from 34 cents to what?""Ask the Audience"" lifeline used","['⬥ A:36 cents', '⬥ B:37 cents', '⬥ C:38 cents', '⬥ D:39 cents']",⬥ B:37 cents
"In mathematics, the binary number system uses what number as its base?","['⬥ A:1', '⬥ B:2', '⬥ C:5', '⬥ D:10']",⬥ B:2
Which TV animal breathes through a blowhole?,"['⬥ A:Flipper', '⬥ B:Lassie', '⬥ C:Mr. Ed', ""⬥ D:Bill O'Reilly""]",⬥ A:Flipper
Whose picture is on the $100 bill?,"['⬥ A:Patrick Henry', '⬥ B:Samuel Adams', '⬥ C:John Hancock', '⬥ D:Benjamin Franklin']",⬥ D:Benjamin Franklin
What would you use a loofah to do?,"['⬥ A:Mix a drink', '⬥ B:Take a shower', '⬥ C:Trim a hedge', '⬥ D:Knit a sweater']",⬥ B:Take a shower
What melted the Wicked Witch of the West?,"['⬥ A:Sunlight', '⬥ B:Music', '⬥ C:Water', '⬥ D:Fire']",⬥ C:Water
"In Chicago's song ""Saturday in the Park"", what day is it?","['⬥ A:First day of spring', '⬥ B:Fourth of July', '⬥ C:Some time in May', '⬥ D:Halloween']",⬥ B:Fourth of July
"What coach said ""Winning isn't everything, it's the only thing""?","['⬥ A:Vince Lombardi', '⬥ B:George Halas', '⬥ C:Knute Rockne', '⬥ D:Bear Bryant']",⬥ A:Vince Lombardi
A mixture of two metals is a what?,"['⬥ A:Tincture', '⬥ B:Alloy', '⬥ C:Emulsion', '⬥ D:Suspension']",⬥ B:Alloy
What would not be treated by an otolaryngologist?,"['⬥ A:Throat', '⬥ B:Nose', '⬥ C:Eye', '⬥ D:Ear']",⬥ C:Eye
"What color is the center square in the game Scrabble?""Ask the Audience"" and ""50:50"" lifelines used","['⬥ A:Red', '⬥ B:Pink', '⬥ C:Dark blue', '⬥ D:Light blue']",⬥ B:Pink
"Often used with fireplaces, a bellows is a device that forcibly expels what?","['⬥ A:Water', '⬥ B:Sand', '⬥ C:Air', '⬥ D:Romance']",⬥ C:Air
"In the Boy Scouts of America, what is the highest rank a scout can achieve?","['⬥ A:Eagle', '⬥ B:Lion', '⬥ C:Bear', '⬥ D:Wolf']",⬥ A:Eagle
"In what Broadway musical does a chorus of teens sing, ""Tell me more, tell me more, did you get very far""?'Ask the Audience' lifeline used","['⬥ A:West Side Story', '⬥ B:Bye Bye Birdie', '⬥ C:Grease', '⬥ D:Oliver!']",⬥ C:Grease
"In the classic children's game ""Hungry Hungry Hippos,"" what do the hippos eat?","['⬥ A:Dice', '⬥ B:Pegs', '⬥ C:Beanbags', '⬥ D:Marbles']",⬥ D:Marbles
Irish coffee is traditionally made with what liquor?'Phone-a-Friend' lifeline used,"['⬥ A:Vodka', '⬥ B:Whiskey', '⬥ C:Gin', '⬥ D:Rum']",⬥ B:Whiskey
"On the TV series ""Welcome Back, Kotter,"" what does Horshack say when he raises his hand in class?","['⬥ A:Psst! Psst!', '⬥ B:Over here!', '⬥ C:Ooo! Ooo!', '⬥ D:Me! Me! Me!']",⬥ C:Ooo! Ooo!
"In classical Greek architecture, what type of column is traditionally the most ornate?'50:50' lifeline used","['⬥ A:Ionic', '⬥ B:Tuscan', '⬥ C:Doric', '⬥ D:Corinthian']",⬥ D:Corinthian
Richard Nixon's pet dog Checkers was what breed?,"['⬥ A:Beagle', '⬥ B:Cocker spaniel', '⬥ C:German shepherd', '⬥ D:Collie']",⬥ B:Cocker spaniel
"The children's song ""The Hokey Pokey"" ends with what line?","['⬥ A:I never had a doubt', ""⬥ B:Why don't we all go out"", ""⬥ C:That's what it's all about"", ""⬥ D:Who's got aspirin?""]",⬥ C:That's what it's all about
A tomahawk is a small what?,"['⬥ A:Knife', '⬥ B:Ax', '⬥ C:Club', '⬥ D:Spear']",⬥ B:Ax
"What weather condition is often described as ""pea soup""?","['⬥ A:Hazy sun', '⬥ B:Thick fog', '⬥ C:Freezing rain', '⬥ D:Gusty winds']",⬥ B:Thick fog
"In India, snake charmers traditionally charm what kind of snakes into dancing?","['⬥ A:Boa constrictors', '⬥ B:Adders', '⬥ C:Cobras', '⬥ D:Anacondas']",⬥ C:Cobras
Rivals Krystle and Alexis duke it out in a lily pond in a famous scene from what 1980s TV drama?,"[""⬥ A:Knot's Landing"", '⬥ B:Falcon Crest', '⬥ C:Dallas', '⬥ D:Dynasty']",⬥ D:Dynasty
"""Big Sky Country"" is a popular nickname for what U.S. state?""Ask the Audience"" lifeline used","['⬥ A:Idaho', '⬥ B:South Dakota', '⬥ C:Montana', '⬥ D:Wyoming']",⬥ C:Montana
"By definition, an apéritif is a drink served when?","['⬥ A:Before a meal', '⬥ B:Before bedtime', '⬥ C:Before noon', '⬥ D:Before departing']",⬥ A:Before a meal
"Since 1984, who has been the host of the TV game show ""Jeopardy!""?","['⬥ A:Monty Hall', '⬥ B:Wink Martindale', '⬥ C:Alex Trebek', ""⬥ D:What's Jeopardy!?""]",⬥ C:Alex Trebek
A long-running ad campaign instructs you to spend two months' salary on what?,"['⬥ A:Rent', '⬥ B:Summer vacation', '⬥ C:Clothing', '⬥ D:Engagement ring']",⬥ D:Engagement ring
How many lines are there in a standard knock-knock joke?,"['⬥ A:3', '⬥ B:4', '⬥ C:5', '⬥ D:6']",⬥ C:5
"The show business question ""Will it play in Peoria?"" refers to a town in what U.S. state?","['⬥ A:Illinois', '⬥ B:Kansas', '⬥ C:Iowa', '⬥ D:Nebraska']",⬥ A:Illinois
"The ""E"" in the federal agency acronym ""FEMA"" stands for what?","['⬥ A:Energy', '⬥ B:Emergency', '⬥ C:Elections', '⬥ D:Education']",⬥ B:Emergency
"On the TV series ""Night Court,"" what is the nickname of the tall, bald bailiff?""Ask the Audience"" lifeline used","['⬥ A:Bear', '⬥ B:Whale', '⬥ C:Moose', '⬥ D:Bull']",⬥ D:Bull
The Ireng River in Guyana borders what other South American country?“50:50” lifeline used,"['⬥ A:Brazil', '⬥ B:Suriname', '⬥ C:?', '⬥ D:?']",⬥ A:Brazil
"In the classic cartoons, what is Bugs Bunny's signature greeting?","[""⬥ A:What's up, doc?"", '⬥ B:Howdy, partner', ""⬥ C:What's new, pussycat?"", ""⬥ D:That's no carrot...""]","⬥ A:What's up, doc?"
In which of these high school classes are students most likely to use a petri dish?,"['⬥ A:Physics', '⬥ B:Home economics', '⬥ C:Biology', '⬥ D:Physical education']",⬥ C:Biology
"Which of these animals can change the color of its skin, depending on its mood and environment?","['⬥ A:Lion', '⬥ B:Octopus', '⬥ C:Zebra', '⬥ D:Elephant']",⬥ B:Octopus
"Brothers Dennis, Carl and Brian Wilson were founding members of what pop band?","['⬥ A:The Beach Boys', '⬥ B:The Mamas & the Papas', '⬥ C:The Turtles', ""⬥ D:The Lovin' Spoonful""]",⬥ A:The Beach Boys
Mesquite is a type of wood traditionally used in what method of cooking?,"['⬥ A:Stir-fry', '⬥ B:Braising', '⬥ C:Fondue', '⬥ D:Barbecue']",⬥ D:Barbecue
"Where on the body would you normally find a ""soul patch""?'Ask the Audience' and '50:50' lifelines used","['⬥ A:Under the navel', '⬥ B:Above the chin', '⬥ C:Around the elbows', '⬥ D:Behind the ears']",⬥ B:Above the chin
The Ficus elastica is a common houseplant better known by what name?,"['⬥ A:Spider plant', '⬥ B:Jade plant', '⬥ C:Zebra plant', '⬥ D:Rubber plant']",⬥ D:Rubber plant
"A popular site for pilgrimages, the Wailing Wall is located in what city?","['⬥ A:Mecca', '⬥ B:Rome', '⬥ C:Cairo', '⬥ D:Jerusalem']",⬥ D:Jerusalem
"In the 1984 movie ""The Karate Kid,"" Daniel's tournament-winning kick shares its name with what bird?'Phone-a-Friend' lifeline used","['⬥ A:Eagle', '⬥ B:Hawk', '⬥ C:Crane', '⬥ D:Falcon']",⬥ C:Crane
"Weighing around three pounds, what is the heaviest internal organ in the human body?","['⬥ A:Pancreas', '⬥ B:Liver', '⬥ C:Heart', '⬥ D:Spleen']",⬥ B:Liver
"The word ""maverick"" comes from the name of an American pioneer who refused to do what?","['⬥ A:Use barbed wire', '⬥ B:Shoot wild animals', '⬥ C:Brand his cows', '⬥ D:Pay his taxes']",⬥ C:Brand his cows
"Issued in 1934 for use by Federal Reserve banks, the $100,000 bill features what U.S. president on its front?","['⬥ A:James Monroe', '⬥ B:James Madison', '⬥ C:Theodore Roosevelt', '⬥ D:Woodrow Wilson']",⬥ D:Woodrow Wilson
"According to a popular nursery rhyme, who was “eating her curds and whey”?","['⬥ A:Old Mother Hubbard', '⬥ B:Little Bo-peep', '⬥ C:Little Miss Muffet', '⬥ D:Jenny Craig']",⬥ C:Little Miss Muffet
“Grease monkey” is slang for a person who works as a what?,"['⬥ A:Mechanic', '⬥ B:Barber', '⬥ C:Short-order cook', '⬥ D:Coal miner']",⬥ A:Mechanic
"Founded in Hawaii in 1851, the Dole Food Company began as a grower of what fruit?","['⬥ A:Peach', '⬥ B:Watermelon', '⬥ C:Orange', '⬥ D:Pineapple']",⬥ D:Pineapple
Which of these expressions is an example of an oxymoron?,"['⬥ A:Golden opportunity', '⬥ B:Downward spiral', '⬥ C:Living dead', '⬥ D:Change of heart']",⬥ C:Living dead
What 1970s  TV series title character has the last name Morgenstern?,"['⬥ A:Alice', '⬥ B:Rhoda', '⬥ C:Maude', '⬥ D:Phyllis']",⬥ B:Rhoda
What sci-fi author wrote “Journey to the Center of the Earth” and “Around the World in Eighty Days”?'Ask the Audience' lifeline used,"['⬥ A:H.G. Wells', '⬥ B:Edgar Rice Burroughs', '⬥ C:Jules Verne', '⬥ D:Ray Bradbury']",⬥ C:Jules Verne
"Due to a controversy over nude photos, what state initially sent two women to the 2002 Miss America pageant?","['⬥ A:Texas', '⬥ B:Colorado', '⬥ C:Iowa', '⬥ D:North Carolina']",⬥ D:North Carolina
What animal is mentioned in the opening lines of the classic song “Mack the Knife”?,"['⬥ A:Fox', '⬥ B:Tiger', '⬥ C:Shark', '⬥ D:Snake']",⬥ C:Shark
What retailer is known for its flexible work program aimed at Olympic hopefuls?,"['⬥ A:Home Depot', '⬥ B:Wal-Mart', '⬥ C:Target', '⬥ D:Barnes & Noble']",⬥ A:Home Depot
What father and son won Academy Awards for the same movie?’Phone-a-Friend‘ lifeline used,"['⬥ A:Henry & Peter Fonda', '⬥ B:Jason & Sam Robards', '⬥ C:Walter & John Huston', '⬥ D:Kirk & Michael Douglas']",⬥ C:Walter & John Huston
